name,type,address,lat,lng,place_id,google_types,rating,user_ratings_total
Good Voyage,Café,"8520 14th Ave S, Seattle, WA 98108, USA",47.5267385,-122.3145648,ChIJIweuNC1DkFQR32HzHy6hYGE,bar|cafe|establishment|food|point_of_interest|restaurant|store,4.8,170
Volunteer Park Cafe & Pantry,Café,"1501 17th Ave E, Seattle, WA 98112, USA",47.6324747,-122.3101398,ChIJLWGLg90VkFQREfImduJ7gjA,bakery|cafe|establishment|food|liquor_store|point_of_interest|restaurant|store,4.4,1029
Lune Cafe,Café,"107 1st Ave S, Seattle, WA 98104, USA",47.6013795,-122.3345335,ChIJU6O0Y_1rkFQRw0BduR7xyBU,cafe|establishment|food|point_of_interest,4.5,1156
Rita’s Cafe,Café,"Located in, 808 3rd Ave, Seattle, WA 98104, USA",47.60453469999999,-122.332822,ChIJBw069C5rkFQRO185EgzEDZ8,cafe|establishment|food|point_of_interest,5,25
Stone Way Cafe,Café,"3525 Stone Way N, Seattle, WA 98103, USA",47.6502986,-122.343056,ChIJFT0nhQEVkFQRrRIi9IzF8m0,cafe|establishment|food|point_of_interest|store,4.6,1702
Lost Lake Cafe & Lounge,Café,"1505 10th Ave, Seattle, WA 98122, USA",47.6143793,-122.3196434,ChIJ-TzzQ8xqkFQRH5sj_1Pd6bE,bar|establishment|food|point_of_interest|restaurant,4.2,4376
Bang Bang Cafe,Café,"2460 Western Ave, Seattle, WA 98121, USA",47.61402289999999,-122.3492388,ChIJ5Y74B04VkFQRvoWKWLoETmA,bakery|cafe|establishment|food|point_of_interest|restaurant|store,4.4,750
Portage Bay Cafe - South Lake Union,Café,"391 Terry Ave N, Seattle, WA 98109, USA",47.621843,-122.337419,ChIJ7ZC5oTcVkFQR4tJqYR-hWbU,cafe|establishment|food|point_of_interest|restaurant,4.2,3689
Hangar Cafe,Café,"6261 13th Ave S, Seattle, WA 98108, USA",47.5467194,-122.3164449,ChIJWRgaZOxBkFQRArhWsxJvll0,cafe|establishment|food|point_of_interest|restaurant|store,4.5,1007
Piedmont Café,Café,"1215 Seneca St Suite 100, Seattle, WA 98101, USA",47.6115511,-122.3242818,ChIJfXq9EVxrkFQR4o4w3a_0H10,cafe|establishment|food|point_of_interest|store,4.9,242
The 5 Point Cafe,Café,"415 Cedar St, Seattle, WA 98121, USA",47.6180712,-122.3473786,ChIJibX4ME8VkFQRypD16V31l-Q,bar|establishment|food|point_of_interest|restaurant,4.3,8623
Tailwind Café at Good Weather,Café,"In the Alley, 1424 11th Ave, Seattle, WA 98122, USA",47.6136274,-122.3178001,ChIJzzHlqLRrkFQRcwN4t8PTzIk,bar|cafe|establishment|food|point_of_interest|restaurant|store,4.7,179
Biscuit Bitch Pike Place,Café,"1909 1st Ave, Seattle, WA 98101, USA",47.61036499999999,-122.3417,ChIJ9Z7V1rJqkFQR4PQw1WfZh3M,cafe|establishment|food|point_of_interest|restaurant|store,4.4,3815
Jollidaze Cafe,Café,"519 6th Ave S #110, Seattle, WA 98104, USA",47.5977971,-122.3265245,ChIJ-6-74YdrkFQRUldIRIh6Z7s,cafe|establishment|food|point_of_interest|restaurant|store,4.8,131
Bacco Cafe,Café,"86 Pine St, Seattle, WA 98101, USA",47.6100546,-122.3413612,ChIJsShv3bJqkFQRNhAXcjjvtSU,cafe|establishment|food|point_of_interest|restaurant,4.5,1871
Storyville Coffee Pike Place,Café,"94 Pike St Top floor Suite 34, Seattle, WA 98101, USA",47.60895,-122.3404309,ChIJBR3G8LJqkFQRWD2Wzn0qG3c,bakery|cafe|establishment|food|point_of_interest|store,4.6,3010
Oddfellows Café + Bar,Café,"1525 10th Ave, Seattle, WA 98122, USA",47.6148992,-122.319643,ChIJZ7BwWsxqkFQRW7n0QdDE1eg,bar|cafe|establishment|food|point_of_interest|restaurant,4.3,1832
The Outer Rim,Café,"2821 Thorndyke Ave W, Seattle, WA 98119, USA",47.6454647,-122.3830255,ChIJwR7VH2cVkFQRaLCer42Ou_Y,cafe|establishment|food|point_of_interest|store,4.9,177
Storyville Coffee,Café,"1001 1st Ave, Seattle, WA 98104, USA",47.6047465,-122.3366066,ChIJoVOXybFqkFQRA-8a2OmkD3I,bakery|cafe|establishment|food|point_of_interest|store,4.6,810
Hood Famous Bakeshop (Chinatown-ID),Café,"504 5th Ave S #107a, Seattle, WA 98104, USA",47.5980429,-122.3275238,ChIJEWssZr5rkFQRel6OnOIsQog,bakery|cafe|establishment|food|point_of_interest|store,4.6,653
Yard House,Café,"1501 4th Ave, Seattle, WA 98101, USA",47.61051,-122.33735,ChIJSxHAcbNqkFQRimpTht7bPsM,bar|establishment|food|meal_takeaway|point_of_interest|restaurant,4.4,6262
Alder & Ash,Café,"629 Pike St, Seattle, WA 98101, USA",47.6113175,-122.3334013,ChIJiajxot1rkFQRemLl_XPhBoo,establishment|food|point_of_interest|restaurant,4.4,739
Ludi's Restaurant,Café,"120 Stewart St, Seattle, WA 98101, USA",47.610944,-122.3407198,ChIJbUAe611rkFQR_EFtZDsxaT4,establishment|food|point_of_interest|restaurant,4.6,2309
Toulouse Petit Kitchen & Lounge,Café,"601 Queen Anne Ave N, Seattle, WA 98109, USA",47.6247613,-122.3569487,ChIJ_UHsyUMVkFQRucL7Hw-w7UE,bar|establishment|food|point_of_interest|restaurant,4.4,6460
The Fisherman's Restaurant Seattle,Café,"1301 Alaskan Wy, Seattle, WA 98101, USA",47.605956,-122.341148,ChIJs-Di-61qkFQRlo6i3JGwHqA,bar|establishment|food|point_of_interest|restaurant,3.9,2601
Lola,Café,"2000 B 4th Ave, Seattle, WA 98121, USA",47.613369,-122.3401471,ChIJF1wFnkwVkFQRTgUNrzxCBtQ,establishment|food|point_of_interest|restaurant,4.4,4495
The Hart and the Hunter,Café,"109 Pine St, Seattle, WA 98101, USA",47.6099065,-122.3404332,ChIJL0zcZMprkFQRpiWglnqZ5zE,establishment|food|point_of_interest|restaurant,4.3,583
How to Cook a Wolf,Café,"2208 Queen Anne Ave N, Seattle, WA 98109, USA",47.6387234,-122.3566423,ChIJa-hJdxIVkFQRZ7LNdZtTpv4,bar|establishment|food|point_of_interest|restaurant,4.5,1170
Marination Ma Kai,Café,"1660 Harbor Ave SW, Seattle, WA 98126, USA",47.58943619999999,-122.3805702,ChIJsRF59nJAkFQRKis-uc-e_1k,bar|establishment|food|point_of_interest|restaurant,4.5,3639
The George,Café,"411 University St, Seattle, WA 98101, USA",47.60805509999999,-122.3334547,ChIJkSxTm_xrkFQRyBwGa8MfLvQ,establishment|food|point_of_interest|restaurant,4.2,752
Pasta Casalinga,Café,"93 Pike St #201, Seattle, WA 98101, USA",47.6084776,-122.3399556,ChIJAdP3V7JqkFQRh3g6UpDngzY,establishment|food|point_of_interest|restaurant,4.6,948
Musubi Kai Seattle,Café,"108 Union St, Seattle, WA 98101, USA",47.608103,-122.3387789,ChIJuRd6ryBrkFQRgM7rGsivREs,establishment|food|point_of_interest|restaurant,4.7,295
Von's 1000Spirits,Café,"1225 1st Ave, Seattle, WA 98101, USA",47.6066052,-122.3384085,ChIJYSjPILJqkFQRE-m7s1g6K0Y,bar|establishment|food|point_of_interest|restaurant,4.6,7094
Tilikum Place Cafe,Café,"407 Cedar St, Seattle, WA 98121, USA",47.6179313,-122.3476593,ChIJ6TtIO08VkFQRRNn6uHOo27g,bar|establishment|food|point_of_interest|restaurant,4.6,1945
familyfriend,Café,"3315 Beacon Ave S, Seattle, WA 98144, USA",47.5735734,-122.309043,ChIJPUrZoF5rkFQRblaP-mjuc3o,bar|establishment|food|point_of_interest|restaurant,4.2,438
Ba Bar Capitol Hill,Café,"550 12th Ave, Seattle, WA 98122, USA",47.607007,-122.316498,ChIJnWShMMZqkFQRNz0WW0Mea9E,bar|cafe|establishment|food|meal_takeaway|point_of_interest|restaurant,4.4,2518
Saigon Drip Cafe,Café,"161 S Washington St, Seattle, WA 98104, USA",47.6007541,-122.3323471,ChIJo_oHZdxrkFQRBGQajOZ1PCU,establishment|food|point_of_interest|restaurant,4.9,1690
5 Spot,Café,"1502 Queen Anne Ave N, Seattle, WA 98109, USA",47.6325638,-122.3567032,ChIJyQk_QWsVkFQRBlbqLDPveRU,cafe|establishment|food|point_of_interest|restaurant|store,4.6,3581
Sound View Cafe,Café,"1501 Pike Pl #501, Seattle, WA 98101, USA",47.6086274,-122.3407369,ChIJkX3s-LJqkFQRLapGrbyHfD0,establishment|food|point_of_interest|restaurant,4.3,1057
Portage Bay Cafe,Café,"4130 Roosevelt Way NE, Seattle, WA 98105, USA",47.6576245,-122.3176877,ChIJzZzBbfQUkFQRP0f0nUznInY,cafe|establishment|food|point_of_interest|restaurant,4.3,2483
Pete's Eggnest,Café,"7717 Greenwood Ave N, Seattle, WA 98103, USA",47.68530029999999,-122.3554994,ChIJ2c0RYyMUkFQRRAHJsGe6vV4,establishment|food|point_of_interest|restaurant,4.6,1201
Wild Mountain Cafe,Café,"1408 NW 85th St, Seattle, WA 98117, USA",47.6908389,-122.3745444,ChIJGYRT54IWkFQRBMisgvsgrAk,cafe|establishment|food|point_of_interest|restaurant,4.6,722
Seattle Children's Museum,Museum,"305 Harrison St, Seattle, WA 98109, USA",47.621394,-122.350884,ChIJsQLp1UUVkFQR4_LfZUzGukI,establishment|museum|point_of_interest|tourist_attraction,4.3,1728
Pacific Science Center,Museum,"200 Sue Bird Ct N, Seattle, WA 98109, USA",47.62004,-122.3515628,ChIJAxZWvUwVkFQRPuvwC7JTqZk,establishment|museum|point_of_interest|tourist_attraction,4.5,7466
PACCAR IMAX Theater at Pacific Science Center,Museum,"200 Sue Bird Ct N, Seattle, WA 98109, USA",47.61982039999999,-122.3507218,ChIJm1csoEUVkFQRZaSm9KvhWGM,establishment|movie_theater|point_of_interest,4.5,624
Science Center Outdoor Water Area,Museum,"200 2nd Ave, Seattle, WA 98109, USA",47.6191565,-122.3516502,ChIJOR3Ou7oVkFQRwo2zzSCe6i4,establishment|museum|point_of_interest,4.3,21
Museum of Illusions - Seattle,Museum,"1330 5th Ave, Seattle, WA 98101, USA",47.6096365,-122.3344339,ChIJJw0ZWa5rkFQR0QhsKVQ9vck,establishment|museum|point_of_interest|tourist_attraction,4.7,1625
Laser Dome at the Pacific Science Center,Museum,"200 2nd Ave, Seattle, WA 98109, USA",47.6190604,-122.351863,ChIJc3GJj0UVkFQRwLD1TCbHuhA,establishment|point_of_interest,4.6,198
