name,type,address,lat,lng,place_id,google_types,rating,user_ratings_total,reviews
Good Voyage,Café,"8520 14th Ave S, Seattle, WA 98108, USA",47.5267385,-122.3145648,ChIJIweuNC1DkFQR32HzHy6hYGE,bar|cafe|establishment|food|point_of_interest|restaurant|store,4.8,170,"[""Unbelievable gem nestled in the South Park neighborhood. Serving French fare with their own flair, everything we had was delicious, thoughtful, and unlike the normal PNW fare. The staff was knowledgeable, very approachable, and eager to help you make decisions. I'll be back!"",""Stopped in for brunch on a Sunday around 8:45am. There were a few other patrons at the time. Super welcoming staff. You can’t go wrong with anything on the menu.\n\nWe had the breakfast plate, the gigante beans, and the jambon beurre sandwich. All delicious. We got the lentil salad and yogurt parfait to go. The lentil salad is so good! I’m still thinking about it!!"",""My new favorite place for brunch, lunch, coffee, happy hour and dinner.  Love this place so much. Everything is delicious, the service is impeccable and the atmosphere is wonderful."",""What a warm, bright little gem to happen upon on a drizzly Sunday morning. I expected to grab a coffee & maybe dry off for a few minutes but ended up eating a lovely, very tasty brunch in a warm atmosphere full of happy people. The staff treated everyone like old friends. Highly recommend."",""I ordered a bacon, egg, and cheese sandwich and a black coffee—both were solid. The sandwich was fresh and flavorful, and the coffee was smooth. The girl at the front counter was friendly. The overall vibe of the place was nice too—cozy interior with a relaxed atmosphere. Would definitely come back and try it again.""]"
Volunteer Park Cafe & Pantry,Café,"1501 17th Ave E, Seattle, WA 98112, USA",47.6324747,-122.3101398,ChIJLWGLg90VkFQREfImduJ7gjA,bakery|cafe|establishment|food|liquor_store|point_of_interest|restaurant|store,4.4,1029,"[""Amazing pasties! The breakfast sandwich is skippable (not much flavor), but any of their sweets are great. The chocolate babka muffin was so good!! A bit tough to find seating."",""Super cute spot. Came here before hitting the Asian art museum.  Coffee was so good... perfect micro foam! Toast was amazing! It was pretty small inside but there is outside seating as well. Definitely worth a visit. Cookies are super good too!"",""Stepping inside felt really comforting and homey — the kind of place that instantly gives you that neighborhood vibe. Everything about it felt familiar and welcoming, like somewhere locals actually love to hang out. The staff was friendly and seemed genuinely happy to be there, even while keeping busy with all the orders. It made the whole experience feel effortless and relaxed, like you could take your time and enjoy your meal without feeling rushed. There’s something about the combination of a cozy interior, a friendly team, and that lived-in neighborhood energy that just makes you want to come back again and again. It’s one of those spots where you immediately feel at ease and can enjoy good food or drinks without any fuss."",""I’m visiting from England and stopped by for tea – honestly one of the best cups I’ve had in a long time. The flavour was spot on and brewed perfectly. I also tried one of their pastries and it was fresh, warm, and delicious.\nThe cafe has a really cosy atmosphere, friendly service, and a peaceful vibe that makes it a great place to relax. Definitely worth a visit if you’re in the area!"",""Found this gem while completing a neighborhood stroll.  Such a quaint place.  In the middle of a residential area, tree lined streets.  Street parking.  Limited tables.  Coffee, pastry’s, etc.  pet and kid friendly.  Lines might be long and tables go fast.""]"
Lune Cafe,Café,"107 1st Ave S, Seattle, WA 98104, USA",47.6013795,-122.3345335,ChIJU6O0Y_1rkFQRw0BduR7xyBU,cafe|establishment|food|point_of_interest,4.5,1156,"[""Very nice cafe! The food was delicious, the atmosphere was cozy, and Jasim provided excellent service. He was very friendly and attentive. I really enjoyed my time here and will definitely come back again. Highly recommend!"",""Dubai Chocolate Strawberry is so delicious! It's crazy. And the staff is so nice and the service is amazing. The chairs are comfortable and I love this cafe because I'm enjoying the rainy Seattle."",""We had such a great experience at Lune Cafe, thanks to our waiter Jasim. He provided excellent service and made the experience feel welcoming and fun. He crafted us amazing soda drinks — I had the strawberry flavor, and it was incredibly flavorful and paired perfectly with the four types of buffet waffles.\n\nThis stop truly lifted my boyfriend’s spirits and was the perfect dessert after our dinner at Pike Place. We’re so glad we decided to come here. We also loved being able to play Jenga and Uno while we waited — such a fun and relaxed touch.\n\nBig shoutout to Jasim — we will definitely be back because of him. Highly recommend Lune Cafe for both locals and visitors alike!"",""My ultimate comfort spot! ♥️ Best drinks, best desserts, and the friendliest staff ever. Prices are super reasonable too! I could come here every day and still not get enough. Truly love everything about this place—10/10, highly recommend! ☕🍰✨"",""I found this little gem because I was on Instagram and I saw they had this amazing Dubai chocolate spread! I saw it and I had to have it! Some of my best friend and I drove out there and we got the strawberries covered in the Dubai chocolate with other chocolate on top I don’t even know what it is. I just know it was amazing and we went back again and again the staff our students I believe and they are really sweet! I will be back for more!""]"
Rita’s Cafe,Café,"Located in, 808 3rd Ave, Seattle, WA 98104, USA",47.60453469999999,-122.332822,ChIJBw069C5rkFQRO185EgzEDZ8,cafe|establishment|food|point_of_interest,5,25,"[""It is super cozy in here (honestly one of the coziest cafes I've been to in awhile), coffee is really good and the owner/staff are so friendly and kind. I'm excited to come back and try their many yummy seasonal drinks and food selections as well. Try Rita's out, you won't be disappointed!"",""An absolutely enchanting cafe with a warm welcoming vibe and absolutely fantastic goodies! Their Chocolate Orange winter special is a must try!!!"",""adorable new little spot. love that they have a Lotus menu as well as a coffee menu! barista was so sweet - very helpful and conversational - plus gave me a lollipop and a loyalty card with my drink (which was delicious). i work near here and was just looking for somewhere to kill an hour of time but now i will definitely be going back! it’s a cute space with a few tables and chairs but great that you can sit in the lobby of the central building if the tables fill up inside, too."",""Wonderful cafe! Super cute and cozy interior, excellent drink options and preparation. My latte was one of the best I’ve ever had.\n\nThe best part is Rita! So sweet and accommodating. Make this place your regular stop if you work in downtown Seattle!!"",""Very cute cafe. Service was fantastic and the holiday lattes were incredible. We got the Chocolate Orange and Hazelnut Dream lattes and loved them a ton. Highly recommend.""]"
Stone Way Cafe,Café,"3525 Stone Way N, Seattle, WA 98103, USA",47.6502986,-122.343056,ChIJFT0nhQEVkFQRrRIi9IzF8m0,cafe|establishment|food|point_of_interest|store,4.6,1702,"[""This breakfast burrito is well known for both its size and quality, and I can confirm it mostly lives up to those.\n\nYou just have to start with how large this is. Apparently it's gotten smaller - which if it has - thank god, because I don't know how I could've finished anything\nbigger than this. It's a true behemoth, having heft to that's largely carried by its fillings.\n\nThe choice of protein is left to you - and I went with the chorizo. I did think this was probably the weakest part unfortunately. It felt underspiced, a little dry, and\ndidn't have as much flavor as I was expected. I would go with another meat option if I were to come again.\nHowever, every other part of this burrito was just fantastic\n\nThe particular standouts were the combination of the eggs and home fries. Both filled up the insides - with the eggs being a soft scramble that bit through easily, while the home fries being fluffy, seasoned well, and again just super soft. It felt like pure breakfast comfort food.\nThe cheese was also a great addition - not overly cheesy, but being there just enough to add extra fat to each bite.\n\nI loved the chipotle sauce added, but my minor issue with that was that it was all off to the side of the burrito - it wasn't distributed evenly. What this meant was that if you took a bit of one specific side, you got a ton of the chipotle sauce, but for the other 90% of the burrito, it just wasn't there.\n\nFor around $15, this is a pretty amazing price for something you could honestly split between two people. It's one of the best lunch deals I've seen in Seattle.\n\nOverall, this is a huge burrito at a cheap price that tastes very good as well. 8.5/10"",""wonderful wonderful spot!!! the food is absolutely delicious and well-priced and well- portioned.\nI got the cajun benedict and my partner got the waffles. both amazing!\nthe staff was kind and I love the open air feel in the cafe."",""They’ve got a pretty solid brunch here! Seems to be Mexican-inspired. Their breakfast burrito is HUGE! And it’s pretty tasty!! You can find generous portions and delicious bites here. Very PNW vibes and lots of friendly faces. Ordering can be kind of hectic with people up front either standing to order or waiting or putting things away (you buss your own table). It’s a bit chaotic, but once you sit down, it makes for a cool brunch spot. Indoor and outdoor seating available. Finding street parking can be a little tough, especially on the weekends. There is a tiny parking lot out front."",""Superrrr tasty! Walked here but there's plenty of parking. Nice big open space with inside and outside seating. Simple menu. Food was amazing 👏🏾 they serve breakfast food all day. I got a breakfast sandwich with chorizo and my wife got the Cuban. Very impressed. The savory muffin was amazing as well! It was toasted.. so yummy. Will need to go back!"",""Wow and wow. I liked the food. All was excellent. I was full and actually shouldn’t have eaten it all but I did. Didn’t need lunch for sure. Coffee was excellent. We stayed a while. It was pleasant. The bathrooms are clean.  Price is excellent and that’s why this place has a line of customers. Worth your wait.  Did manage to snag a table for four with no wait.""]"
Lost Lake Cafe & Lounge,Café,"1505 10th Ave, Seattle, WA 98122, USA",47.6143793,-122.3196434,ChIJ-TzzQ8xqkFQRH5sj_1Pd6bE,bar|establishment|food|point_of_interest|restaurant,4.2,4376,"[""Tried Lost Lake Cafe & Lounge and really loved the vibe. It’s cozy, lively, and has that classic diner-meets-lounge feel. The service was great and the staff were super friendly.\n\nWe ordered the crispy chicken sandwich with fries and a grilled cheese with onion rings. The chicken sandwich was crispy on the outside, juicy on the inside. The fries were well-seasoned too. The grilled cheese was comforting with gooey melted cheese, and the onion rings were crispy but a bit on the greasy side.\n\nOverall, it’s a fun spot, though it does get a little loud during busy hours."",""I’ve only had their happy hour meals because they have some of the cheapest meal prices in Capitol Hill, and the vibes are so cozy and fun. Outside of happy hour it’s all regular Seattle prices but probably better food. The staff is kind, and they played Shrek on the tv last time I went. I recommend the quesadillas from the happy hour meals."",""I met up with some friends for brunch. I ordered a classic breakfast. It is simple, two eggs over easy, hash browns and biscuit. Eggs cooked perfectly, hash browns crispy on top and bottom, and biscuit baked well. I really like the biscuit, break it in half and heat steam out, crispy top layer and bottom layer, moist in the middle. Service was good and there is 5% service charge. Inside, is classic diner atmosphere."",""Host was a little rude. Not sure I understand the 5% percent service charge when she couldn’t bring us paper menus 😭 food was ok cheaper for the area but not with hidden service fee. Mimosa wasn’t even used with fresh orange juice 😩\nAlso they don’t except cash..\n\nWill I visit again?\n\nWe will see. If they get a different host then maybe.\n\nDenver foodie ❤️"",""Excellent late night food option on Capitol Hill! Open until 3am on weekends! The fried chicken is among the best I’ve ever had, especially with the mashed potatoes and gravy that would make my late grandmother weep with joy (as others have said!). Combined with the GIANT “side salad,” this $21 plate is TWO full meals! Pro tip: take the salad and save some chicken to go and have a chicken salad for lunch the next day!! Service was great, atmosphere was fairly quiet considering the cacophony of Sat night in the Hill! Highly recommended!!""]"
Bang Bang Cafe,Café,"2460 Western Ave, Seattle, WA 98121, USA",47.61402289999999,-122.3492388,ChIJ5Y74B04VkFQRvoWKWLoETmA,bakery|cafe|establishment|food|point_of_interest|restaurant|store,4.4,750,"[""Breakfast burrito made vegan, made beautifully! Supper tasty with vegan egg replacement.\n\nThe staff were super kind and helpful.\nI would for sure come back on my next visit to town."",""My husband and I went here for breakfast yesterday morning for the first time. The place itself is super cute and the staff was friendly. My husband had a breakfast burrito and I had the posole and the focaccia breakfast sandwich. Everything was good, but OMG, the breakfast sandwich was one of the best breakfast sandwiches I've ever had and it'll be living rent-free in my head from now on. We don't live here, but Bang Bang will be a must-visit on future Seattle trips. Also, the pop tart was delicious- get one!"",""I liked the pozole. It was a nice warming dish with complementary textures, exactly what's needed on yet another rainy day. The place felt cozy, with a variety of pillows to support the back when sitting in the wall area. This is sort of a counter serve, they'll bring the food to your table and you should return the empty dish yourself. The atmosphere could have been better if this was a full service restaurant. It doesn't seem to be that much more of a stretch to remove dishes or fill up a glass of water once. As the food is fine, elevating the experience could be a good strategy to make it more of a destination."",""🔥🌮 Bang Bang in Othello — A Hidden Spot with Room to Rise\n\nI love supporting new local businesses hidden in our communities, and I was excited to try Bang Bang in Othello after a friend’s recommendation. The space itself is comfortable, warm, and inviting, with a full bar that makes it feel like a true neighborhood hangout.\n\nThe highlight of my visit was the tequila experience—smooth, memorable, and introduced with genuine excitement. That moment showed me the spark of what this place can be when passion and presentation come together.\n\nWhat I hope for is that the same level of excitement is carried throughout the entire dining experience. The servers have the power to guide guests with joy and confidence, turning a meal into something unforgettable. While I left a little unsure about the menu, I also left believing in the potential.\n\nI truly hope Bang Bang will fire into a destination—because our city needs more local fun, more hidden gems, and more places that light up the soul. I’ll be back, ready to experience the next level."",""This cafe has the best vegan options in Seattle. Also they have amazing coffee. The vegan Mac and cheese is insanely good, I’ve had it probably 100 times no exaggeration. Also we had a vegan torta that was so delicious. Cannot recommend this place enough.""]"
Portage Bay Cafe - South Lake Union,Café,"391 Terry Ave N, Seattle, WA 98109, USA",47.621843,-122.337419,ChIJ7ZC5oTcVkFQR4tJqYR-hWbU,cafe|establishment|food|point_of_interest|restaurant,4.2,3689,"[""This was one of the recommendations of walking distance restaurants for breakfast that my hotel offered. I was one of the first ones to be seated when they opened and the restaurant filled up pretty quickly.\n\nI had the crab Benedict and lemon ricotta pancakes along with a lavender London fog.\n\nThe meal was scrumptious. I barely left anything and the portions were hefty. They offer a fruit and nut bar to accompany your meal as well.\nI had to walk it off for about an hour after but it was so worth it.\n\nThe service is also good and the server was very nice.\n\nThe pricing is reasonable. I ate for two people so my bill was a bit high but expected.\n\nWhen I’m back in Seattle, I will visit this restaurant again and try something different."",""This was my third visit to Portage Bay Cafe and my first time sitting at the bar. As on previous visits, the food itself was excellent. I had a grapefruit mimosa and the Apple Cobbler French Toast with gluten-free challah. It arrived hot, beautifully plated, and absolutely delicious.\n\nHowever, sitting at the bar also means you have a full view of the kitchen, and sometimes that transparency works against the experience. Watching the BOH staff made it clear that glove-changing practices are not great. I realize this is a widespread issue in many restaurants, but it’s still not something diners want to see while eating.\n\nThe food and drinks remain great, which is why I’ve come back multiple times. But seeing what happens when the curtain is pulled back changed the experience this time. Had I been seated somewhere without such a clear view behind the scenes, this easily could have been a five-star visit."",""Went on a weekend morning and, as expected, it was busy. This location is huge with plenty of tables inside and a few outside with heaters. It definitely helps to have a reservation. For food, we got the French toast, which gives you access to their famous berry bar. I got the eggs Benedict and it was great. Service was pretty quick and attentive considering how packed it was. Parking is limited since you’re in downtown, so keep that in mind."",""Service was prompt and friendly. Waiter recommended a seasonal Benedict. Interesting flavors with a little spice. The English muffin was a little tough but the taste made up for it. The cheddar biscuit was delicious! A side of sausage gravy went with and I could have eaten it like soup. Yummy! One of us is gluten free so the lemon ricotta pans were a perfect choice. The restaurant is a little loud that’s why 4 stars on ambiance."",""Good location, and atmosphere. Make sure to reserve table in advance for weekends. This place has decent options for vegetarian/vegan food. I ordered Vegan banana pancakes. I liked the fruit bar with all options for toppings like fruits, cream, and nuts, but pancakes were little undercooked and doughy. I had been to this location before and have tried their dish The Farmers Daughter and remember it being good. Might give this cafe another try.""]"
Hangar Cafe,Café,"6261 13th Ave S, Seattle, WA 98108, USA",47.5467194,-122.3164449,ChIJWRgaZOxBkFQRArhWsxJvll0,cafe|establishment|food|point_of_interest|restaurant|store,4.5,1007,"[""I had brunch here with a girlfriend today (a Sunday), fully knowing that there would be a wait because this is a converted HOUSE with a 1 person kitchen. It is well worth it!\n\nI'm beyond impressed at the quality of food the chef put out, giving full attention to every dish, even under the stress of a busy day. The staff were so patient and kind, even when dealing with disgruntled customers who don't understand that they have a tiny kitchen with 1 chef. I had no place to be and was content waiting but was still offered a drink and coffee cake as an apology for the wait. So sweet.\n\nI had The Market, a savory crepe, which they modified for me with no questions asked. It was delicious. The coffee cake was PERFECT, the mimosa was HUGE and my coffee cup never went empty. I love the outdoor patio. It's so cozy that I could sit out there all day.\n\nThe Hangar Cafe is an institution and I can't wait to return!"",""We stopped by by chance, and I absolutely loved the cozy and warm atmosphere.\nThe food was delicious, and the service was wonderful.\nA perfect spot for a lunch date with my son! 💛\nHighly recommended for a relaxing and happy afternoon in Seattle."",""Fabulous food and Service! Toni was so nice to every single person walking in and communicated any wait times very effectively. It’s a busy morning and the chef was killing it - we could see from our seat that they were knocking out orders like a pro. Haven’t been to Seattle in over 10 years and I would 100% recommend this place for a great breakfast!"",""This spot is amazing. I felt like I was on a movie set—the design is absolutely great and wonderfully immersive. I especially enjoyed the crepes; they have an authentic, Eastern European style that was a delightful surprise. The price is affordable and the food is consistently good. Highly recommend checking out the atmosphere alone."",""Pretty good brunch and breakfast. I liked the patio setup. Very pretty and it was cool to have the little finches scrambling around having breakfast with us.""]"
Piedmont Café,Café,"1215 Seneca St Suite 100, Seattle, WA 98101, USA",47.6115511,-122.3242818,ChIJfXq9EVxrkFQR4o4w3a_0H10,cafe|establishment|food|point_of_interest|store,4.9,242,"[""This cafe does a beautiful job at faithfully breathing life into the historic lobby of the Piedmont Hotel. The vaulted ceilings, arched windows, furniture and plants make it feel really authentic and homey. I ordered the berry chocolate muffin which was fantastic and the drip coffee was good. WiFi can be a little spotty but besides that it’s a nice place to hang out for a bit."",""The staff was super welcoming. I had the Apple turnover and a drip coffee. The man behind the counter said it was a good choice and even offered to heat it up. The coffee cup was very pleasant with a ceramic cup on a saucer. The environment quite homely. That's what we really need in a coffee shop. Homely  super welcoming like a living room much compliments to the staff."",""Piedmont Cafe in First Hill is a hidden gem! Loved the coffee (cappuccino was great) and the old school charm vibe. Cozy spot with lush plants and plenty of seating - perfect for work or chill. Slightly less noise would be nice, but overall great experience. Tucked away in Tuscany apartments, it's a fave for creatives - was busy even on a weekend evening. Will return to try the food!"",""This is a really great place to come if you’re trying to just pass time, relax, chat, or get some work done. There is a ton of seating, it’s fairly quiet, and the drinks are really nice. It’s a pretty popular photo spot, so there were about 3 groups (including me) taking photos when I came, but the staff is really friendly.\n\nThe hot cocoa was really nice and I had a gingerbread latte, the coffee part was great but I wasn’t a huge fan of the gingerbread flavor because it was very spicy. I’d love to try some food next time I go there."",""Very pleasantly surprised with this place. The  building and decor were on point. Perfect play to get some work done, people watch, or chat with a friend. The food and coffee were outstanding. I had an almond croissant wheel and it was absolutely perfect. The texture was crunch, crispy, flanky, and soft all at the same time very happy with this choice. I also had the cold brew which was fantastic and served quickly. I’d definitely be back when I’m in the neighborhood""]"
